Id,Name,App,AvgCpu,CurrentType,SuggestedType
i-03d7aeefa9b317238,genelab-compute-2-dev-pubvpc,GeneLab,0.38,m4.4xlarge,t2.small
i-003adedd6a2c55dbe,genelab-compute-4-dev-pubvpc,GeneLab,0.39,m4.4xlarge,t2.small
i-001ae3b21f023ded0,genelab-compute-5-dev-pubvpc,GeneLab,0.39,m4.4xlarge,t2.small
i-082aa09c3c654add1,genelab-compute-1-dev-pubvpc,GeneLab,6.67,m4.4xlarge,t2.medium
i-02739552e9454bfdd,genelab-compute-3-dev-pubvpc,GeneLab,0.6,m4.4xlarge,t2.small
i-0f806fa68062e9a74,apex-redirect-webapp-stage-pubvpc-temp,CMS,0.6,t2.medium,t2.small
i-052b12026bb761eb6,kurrle-webapp-1-dev-sandbox,Sandbox,0.43,m3.medium,t2.small
i-9f7cc3da,www-feed-cache-blue-1-prod-cms,CMS,1.15,m4.xlarge,t2.medium
i-4e6e209a,testing-app-1-dev-cms,CMS,0.96,c4.large,t2.small
i-78060bfd,nmo-webapp-1-prod-priv,Nasa_Management_Office_website,4.34,m3.large,t2.medium
i-0e91b2eb52038742f,redirects-web-1-stage-pubvpc,Redirects,2.83,m3.medium,t2.medium
i-208ddbf4,locust-app-2-dev-cms,CMS,2.83,c4.xlarge,t2.medium
i-0ae9c6a7821fd48dc,www-feed-prod-cms-green,CMS,7.4,c4.xlarge,t2.medium
i-04d9fc8a5a5d4db05,redirects-web-2-prod-pubvpc,Redirects,3.21,m3.medium,t2.medium
i-08c07fc0a3bb2edc6,apex-redirect-webapp-1-prod-pubvpc,CMS,2.48,t2.medium,t2.medium
i-37c960ca,daas-external-app-1-prod-priv,DaaS,8.24,m3.large,t2.medium
i-b3781634,genelab-dev-app-2-pubvpc,GeneLab,3.74,m3.large,t2.medium
i-b2781635,genelab-app-1-stage-pubvpc,GeneLab,0.34,m4.4xlarge,t2.small
i-020dab4966a42a6c5,daas-webapp-0-prod-az2-priv,DaaS,0.79,t2.large,t2.small
i-91e32609,llis-app-1-prod-priv-green,LLIS_external_website,1.3,t2.micro,t2.medium
i-0005f5bc9683945d6,daas-webapp-1-prod-az2-priv,DaaS,0.75,t2.large,t2.small
i-8c78f15c,devops-jira-1-prod-priv,DevOps_Suite,1.7,m3.large,t2.medium
i-8f78f15f,devops-confluence-1-prod-priv,DevOps_Suite,1.49,m3.large,t2.medium
i-0babe8b381478f1a5,nessus-app-2-prod-priv,Security_Infrastructure.SecurityCenter,1.63,m4.large,t2.medium
i-07d0ef3d15f81716b,cms-feed-prod-blue-temp,CMS,0.14,c4.xlarge,t2.small
i-052bab28c53263765,blogs-webapp-1-prod-priv,WPaaS,0.26,m4.large,t2.small
i-06e8175e96d5ea8c4,images-api-prod-pubvpc,AVAIL,2.62,m4.large,t2.medium
i-03daad130985e4d92,mynasa-webapp-1-prod-pubvpc,mynasa,8.89,m3.medium,t2.medium
i-750c6889,daas-internal-app-2-stage-priv,DaaS,76.75,m3.large,t2.medium
i-e7bad454,www-app-3-dev-pubvpc,CMS,2.17,m3.large,t2.medium
i-019a0317f397c05dc,smd-app-prod-pink-temp,CMS,0.12,c4.xlarge,t2.small
i-039e27d975bb6d11b,ansible-webapp-2-prod-priv,Support,1.98,m4.2xlarge,t2.medium
i-0cd625b304399ae09,smd-app-prod-pink,SMD,1.53,c4.xlarge,t2.medium
i-0138767ac7ad1a689,nagios-webapp-2-prod-priv,Nagios,8.58,m4.large,t2.medium
i-56c80cc5,wp-dns-3-prod-priv,Support,0.43,t2.small,t2.small
i-08af82d5fa6268845,smd-cron-prod-red-temp,CMS,0.13,c4.xlarge,t2.small
i-b8da3846,devops-webapp-1-dev-priv,DevOps_Suite,0.13,m3.xlarge,t2.small
i-22b5db91,www-chris-1-dev-pubvpc,CMS,30.87,m3.medium,t2.medium
i-edc1e768,smd-app-1-dev-pubvpc,SMD,1.13,m4.large,t2.medium
i-06994231dde01202d,devops-crowd-1-dev-priv,DevOps_Suite,0.35,m4.large,t2.small
i-6ebbf5ba,www-feed-cache-stage-1-nasa-gov,CMS,0.39,m4.xlarge,t2.small
i-0d1226339c1ed9a01,ansible-webapp-1-stage-priv,Support,0.68,m4.2xlarge,t2.small
i-0ddeb0781facb0322,www-feed-stage-cms,CMS,0.18,c4.xlarge,t2.small
i-09358b70d732a462a,www-feed-stage-cms,CMS,0.43,c4.xlarge,t2.small
i-2aa2b1b1,straw-webapp-1-stage-priv,STRAW,3.93,m3.large,t2.medium
i-7c56e32c,bastion-app-1-prod-sandbox,Bastions,1.9,m3.medium,t2.medium
i-8e509be2,www-file-2-stage-cms,CMS,95.56,m3.medium,t2.medium
i-16f02ceb,daas-internal-app-1-stage-priv,DaaS,79.9,m3.large,t2.medium
i-7266c31a,apt-app-1-dev-priv,APT_website,9.03,m3.medium,t2.medium
i-0c96a5fcb8b236bdd,smd-webcache-prod-red-pubvpc,SMD,0.41,c4.xlarge,t2.small
i-b70c4d33,www-orrin-2-dev-pubvpc,CMS,4.73,t2.medium,t2.medium
i-07e955390e6e34438,tririga-webapp-3-stage-priv,Tririga,1.87,m4.large,t2.medium
i-083c8531e7f0f09ae,aorg-webapp-1-prod-pubvpc,AORG,0.56,t2.small,t2.small
i-e8bee973,wavelength-smd-webapp-1-dev-pubvpc,SMD,2.8,m3.medium,t2.medium
i-0e4152770c49d5a4f,arc-2-dev-pubvpc,ARCResearch,2.13,m3.medium,t2.medium
i-40b9d7f3,www-orrin-1-dev-pubvpc,CMS,6.34,m3.medium,t2.medium
i-fb509ffa,locust-app-2-dev-pubvpc,CMS,6.34,c4.large,t2.medium
i-016d2bb9dc5c7c969,www-app-stage-cms,CMS,0.31,c4.xlarge,t2.small
i-04ddce68a24b28ed2,loxy-app-1-dev-priv,Support,0.32,t2.medium,t2.small
i-06f4e05686785992a,genelab-pilot-1-stage-pubvpc,GeneLab,9.27,m4.4xlarge,t2.medium
i-006ead06633d2aeb9,piwik-webapp-1-dev-priv,Piwik,5.03,m3.medium,t2.medium
i-ca14b737,daas-external-file-1-prod-priv,DaaS,2.57,m3.large,t2.medium
i-0e453564188060452,bastion-pan-app-1-prod-priv,Bastions,6.32,t2.small,t2.medium
i-5192bc7f,inside-search-1-dev-priv,InsideNASA,4.11,m1.medium,t2.medium
i-013c3a2b,nomadinternal-webapp-2-dev-priv,nomad,0.95,m3.xlarge,t2.small
